Date,Total_ALoad,Price_day_ahead,hour_type
2015-01-01T00:00:00Z,5946.0,35.0,0
2015-01-01T01:00:00Z,5726.0,45.0,0
2015-01-01T02:00:00Z,5347.0,41.0,0
2015-01-01T03:00:00Z,5249.0,38.0,0
2015-01-01T04:00:00Z,5309.0,35.0,0
2015-01-01T05:00:00Z,5574.0,35.0,0
2015-01-01T06:00:00Z,5925.0,36.0,0
2015-01-01T07:00:00Z,6343.0,36.0,0
2015-01-01T08:00:00Z,6882.0,41.0,0
2015-01-01T09:00:00Z,6963.0,45.0,0
2015-01-01T10:00:00Z,7110.0,50.0,0
2015-01-01T11:00:00Z,7136.0,51.0,0
2015-01-01T12:00:00Z,7013.0,48.0,0
2015-01-01T13:00:00Z,6735.0,47.0,0
2015-01-01T14:00:00Z,6543.0,46.0,0
2015-01-01T15:00:00Z,6603.0,51.0,0
2015-01-01T16:00:00Z,6735.0,61.0,1
2015-01-01T17:00:00Z,6626.0,58.0,1
2015-01-01T18:00:00Z,6738.0,54.0,1
2015-01-01T19:00:00Z,6654.0,44.0,1
2015-01-01T20:00:00Z,6255.0,35.0,0
2015-01-01T21:00:00Z,6221.0,33.0,0
2015-01-01T22:00:00Z,5864.0,21.0,0
2015-01-01T23:00:00Z,5533.0,15.0,0
2015-01-02T00:00:00Z,5205.0,9.0,0
2015-01-02T01:00:00Z,4971.0,5.0,0
2015-01-02T02:00:00Z,4669.0,-5.0,0
2015-01-02T03:00:00Z,4756.0,-4.0,0
2015-01-02T04:00:00Z,5080.0,-4.0,0
2015-01-02T05:00:00Z,5422.0,9.0,0
2015-01-02T06:00:00Z,5856.0,26.0,0
2015-01-02T07:00:00Z,6366.0,36.0,0
2015-01-02T08:00:00Z,6431.0,42.0,0
2015-01-02T09:00:00Z,6699.0,41.0,0
2015-01-02T10:00:00Z,6543.0,45.0,0
2015-01-02T11:00:00Z,6310.0,47.0,0
2015-01-02T12:00:00Z,6257.0,46.0,0
2015-01-02T13:00:00Z,6307.0,44.0,0
